name,date,season
EPI_ISL_297732,2018-01-22,2017-2018
EPI_ISL_396196,2018-01-22,2017-2018
EPI_ISL_396452,2018-01-22,2017-2018
EPI_ISL_314612,2018-01-22,2017-2018
EPI_ISL_396562,2018-01-22,2017-2018
EPI_ISL_298318,2018-01-22,2017-2018
EPI_ISL_396771,2018-01-22,2017-2018
EPI_ISL_315003,2018-01-22,2017-2018
EPI_ISL_315218,2018-01-22,2017-2018
EPI_ISL_381224,2018-01-22,2017-2018
EPI_ISL_381244,2018-01-22,2017-2018
EPI_ISL_381249,2018-01-22,2017-2018
EPI_ISL_381264,2018-01-22,2017-2018
EPI_ISL_381266,2018-01-22,2017-2018
EPI_ISL_381285,2018-01-22,2017-2018
EPI_ISL_381291,2018-01-22,2017-2018
EPI_ISL_299911,2018-01-22,2017-2018
EPI_ISL_299904,2018-01-22,2017-2018
EPI_ISL_299921,2018-01-22,2017-2018
EPI_ISL_299930,2018-01-22,2017-2018
EPI_ISL_300205,2018-01-22,2017-2018
EPI_ISL_300206,2018-01-22,2017-2018
EPI_ISL_316671,2018-01-22,2017-2018
EPI_ISL_300820,2018-01-22,2017-2018
EPI_ISL_300824,2018-01-22,2017-2018
EPI_ISL_301264,2018-01-22,2017-2018
EPI_ISL_301461,2018-01-22,2017-2018
EPI_ISL_301464,2018-01-22,2017-2018
EPI_ISL_301485,2018-01-22,2017-2018
EPI_ISL_301486,2018-01-22,2017-2018
EPI_ISL_301494,2018-01-22,2017-2018
EPI_ISL_301488,2018-01-22,2017-2018
EPI_ISL_301502,2018-01-22,2017-2018
EPI_ISL_301497,2018-01-22,2017-2018
EPI_ISL_301504,2018-01-22,2017-2018
EPI_ISL_301507,2018-01-22,2017-2018
EPI_ISL_4069986,2018-01-22,2017-2018
EPI_ISL_4069985,2018-01-22,2017-2018
EPI_ISL_14835618,2018-01-22,2017-2018
EPI_ISL_303149,2018-01-22,2017-2018
EPI_ISL_303221,2018-01-22,2017-2018
EPI_ISL_303325,2018-01-22,2017-2018
EPI_ISL_303332,2018-01-22,2017-2018
EPI_ISL_303335,2018-01-22,2017-2018
EPI_ISL_303341,2018-01-22,2017-2018
EPI_ISL_303342,2018-01-22,2017-2018
EPI_ISL_303351,2018-01-22,2017-2018
EPI_ISL_303355,2018-01-22,2017-2018
EPI_ISL_303412,2018-01-22,2017-2018
EPI_ISL_320088,2018-01-22,2017-2018
EPI_ISL_369268,2018-01-22,2017-2018
EPI_ISL_303912,2018-01-22,2017-2018
EPI_ISL_18981515,2018-01-22,2017-2018
EPI_ISL_18981514,2018-01-22,2017-2018
EPI_ISL_304402,2018-01-22,2017-2018
EPI_ISL_304829,2018-01-22,2017-2018
EPI_ISL_304857,2018-01-22,2017-2018
EPI_ISL_305294,2018-01-22,2017-2018
EPI_ISL_305815,2018-01-22,2017-2018
EPI_ISL_305821,2018-01-22,2017-2018
EPI_ISL_306951,2018-01-22,2017-2018
EPI_ISL_308744,2018-01-22,2017-2018
EPI_ISL_358289,2018-01-22,2017-2018
EPI_ISL_358288,2018-01-22,2017-2018
EPI_ISL_358356,2018-01-22,2017-2018
EPI_ISL_358355,2018-01-22,2017-2018
EPI_ISL_309309,2018-01-22,2017-2018
EPI_ISL_310071,2018-01-22,2017-2018
EPI_ISL_310102,2018-01-22,2017-2018
EPI_ISL_327190,2018-01-22,2017-2018
EPI_ISL_327205,2018-01-22,2017-2018
EPI_ISL_327240,2018-01-22,2017-2018
EPI_ISL_376601,2018-01-22,2017-2018
EPI_ISL_376600,2018-01-22,2017-2018
EPI_ISL_376715,2018-01-22,2017-2018
EPI_ISL_14925643,2018-01-22,2017-2018
EPI_ISL_14925647,2018-01-22,2017-2018
EPI_ISL_14925646,2018-01-22,2017-2018
EPI_ISL_14925645,2018-01-22,2017-2018
EPI_ISL_14925644,2018-01-22,2017-2018
EPI_ISL_14925648,2018-01-22,2017-2018
EPI_ISL_360492,2018-01-23,2017-2018
EPI_ISL_360497,2018-01-23,2017-2018
EPI_ISL_360496,2018-01-23,2017-2018
EPI_ISL_360622,2018-01-23,2017-2018
EPI_ISL_360628,2018-01-23,2017-2018
EPI_ISL_360630,2018-01-23,2017-2018
EPI_ISL_360626,2018-01-23,2017-2018
EPI_ISL_360646,2018-01-23,2017-2018
EPI_ISL_360642,2018-01-23,2017-2018
EPI_ISL_360652,2018-01-23,2017-2018
EPI_ISL_360658,2018-01-23,2017-2018
EPI_ISL_360671,2018-01-23,2017-2018
EPI_ISL_360670,2018-01-23,2017-2018
EPI_ISL_311966,2018-01-23,2017-2018
EPI_ISL_361252,2018-01-23,2017-2018
EPI_ISL_361249,2018-01-23,2017-2018
EPI_ISL_361251,2018-01-23,2017-2018
EPI_ISL_361261,2018-01-23,2017-2018
EPI_ISL_361260,2018-01-23,2017-2018
EPI_ISL_361262,2018-01-23,2017-2018
EPI_ISL_361257,2018-01-23,2017-2018
EPI_ISL_361256,2018-01-23,2017-2018
EPI_ISL_361259,2018-01-23,2017-2018
EPI_ISL_361258,2018-01-23,2017-2018
EPI_ISL_312257,2018-01-23,2017-2018
EPI_ISL_361679,2018-01-23,2017-2018
EPI_ISL_361814,2018-01-23,2017-2018
EPI_ISL_361821,2018-01-23,2017-2018
EPI_ISL_361823,2018-01-23,2017-2018
EPI_ISL_361816,2018-01-23,2017-2018
EPI_ISL_361818,2018-01-23,2017-2018
EPI_ISL_361829,2018-01-23,2017-2018
EPI_ISL_361825,2018-01-23,2017-2018
EPI_ISL_361827,2018-01-23,2017-2018
EPI_ISL_312832,2018-01-23,2017-2018
EPI_ISL_296558,2018-01-23,2017-2018
EPI_ISL_313692,2018-01-23,2017-2018
EPI_ISL_313715,2018-01-23,2017-2018
EPI_ISL_395694,2018-01-23,2017-2018
EPI_ISL_313786,2018-01-23,2017-2018
EPI_ISL_313795,2018-01-23,2017-2018
EPI_ISL_313821,2018-01-23,2017-2018
EPI_ISL_395981,2018-01-23,2017-2018
EPI_ISL_395978,2018-01-23,2017-2018
EPI_ISL_396007,2018-01-23,2017-2018
EPI_ISL_396004,2018-01-23,2017-2018
EPI_ISL_297731,2018-01-23,2017-2018
EPI_ISL_396176,2018-01-23,2017-2018
EPI_ISL_396316,2018-01-23,2017-2018
EPI_ISL_396317,2018-01-23,2017-2018
EPI_ISL_396320,2018-01-23,2017-2018
EPI_ISL_314615,2018-01-23,2017-2018
EPI_ISL_314623,2018-01-23,2017-2018
EPI_ISL_314618,2018-01-23,2017-2018
EPI_ISL_314652,2018-01-23,2017-2018
EPI_ISL_396814,2018-01-23,2017-2018
EPI_ISL_314999,2018-01-23,2017-2018
EPI_ISL_315004,2018-01-23,2017-2018
EPI_ISL_315001,2018-01-23,2017-2018
EPI_ISL_298670,2018-01-23,2017-2018
EPI_ISL_381232,2018-01-23,2017-2018
EPI_ISL_381261,2018-01-23,2017-2018
EPI_ISL_381263,2018-01-23,2017-2018
EPI_ISL_381281,2018-01-23,2017-2018
EPI_ISL_299925,2018-01-23,2017-2018
EPI_ISL_299957,2018-01-23,2017-2018
EPI_ISL_299967,2018-01-23,2017-2018
EPI_ISL_299974,2018-01-23,2017-2018
EPI_ISL_300200,2018-01-23,2017-2018
EPI_ISL_316605,2018-01-23,2017-2018
EPI_ISL_300781,2018-01-23,2017-2018
EPI_ISL_301261,2018-01-23,2017-2018
EPI_ISL_301401,2018-01-23,2017-2018
EPI_ISL_301402,2018-01-23,2017-2018
EPI_ISL_301500,2018-01-23,2017-2018
EPI_ISL_301542,2018-01-23,2017-2018
EPI_ISL_302089,2018-01-23,2017-2018
EPI_ISL_302090,2018-01-23,2017-2018
EPI_ISL_302269,2018-01-23,2017-2018
EPI_ISL_303239,2018-01-23,2017-2018
EPI_ISL_303348,2018-01-23,2017-2018
EPI_ISL_303347,2018-01-23,2017-2018
EPI_ISL_303352,2018-01-23,2017-2018
EPI_ISL_303409,2018-01-23,2017-2018
EPI_ISL_303441,2018-01-23,2017-2018
EPI_ISL_303474,2018-01-23,2017-2018
EPI_ISL_320020,2018-01-23,2017-2018
EPI_ISL_320171,2018-01-23,2017-2018
EPI_ISL_320622,2018-01-23,2017-2018
EPI_ISL_20391243,2018-01-23,2017-2018
EPI_ISL_20391242,2018-01-23,2017-2018
EPI_ISL_305287,2018-01-23,2017-2018
EPI_ISL_322043,2018-01-23,2017-2018
EPI_ISL_305798,2018-01-23,2017-2018
EPI_ISL_305820,2018-01-23,2017-2018
EPI_ISL_306252,2018-01-23,2017-2018
EPI_ISL_339069,2018-01-23,2017-2018
EPI_ISL_340406,2018-01-23,2017-2018
EPI_ISL_19460318,2018-01-23,2017-2018
EPI_ISL_373485,2018-01-23,2017-2018
EPI_ISL_308922,2018-01-23,2017-2018
EPI_ISL_308946,2018-01-23,2017-2018
EPI_ISL_358267,2018-01-23,2017-2018
EPI_ISL_309308,2018-01-23,2017-2018
EPI_ISL_327252,2018-01-23,2017-2018
EPI_ISL_376605,2018-01-23,2017-2018
EPI_ISL_376603,2018-01-23,2017-2018
EPI_ISL_14925650,2018-01-23,2017-2018
EPI_ISL_14925649,2018-01-23,2017-2018
EPI_ISL_360499,2018-01-24,2017-2018
EPI_ISL_360632,2018-01-24,2017-2018
EPI_ISL_360635,2018-01-24,2017-2018
EPI_ISL_360644,2018-01-24,2017-2018
EPI_ISL_360648,2018-01-24,2017-2018
EPI_ISL_360650,2018-01-24,2017-2018
EPI_ISL_360660,2018-01-24,2017-2018
EPI_ISL_360656,2018-01-24,2017-2018
EPI_ISL_360667,2018-01-24,2017-2018
EPI_ISL_360678,2018-01-24,2017-2018
EPI_ISL_360673,2018-01-24,2017-2018
EPI_ISL_360675,2018-01-24,2017-2018
EPI_ISL_311970,2018-01-24,2017-2018
EPI_ISL_312000,2018-01-24,2017-2018
EPI_ISL_312050,2018-01-24,2017-2018
EPI_ISL_361263,2018-01-24,2017-2018
EPI_ISL_361269,2018-01-24,2017-2018
EPI_ISL_361268,2018-01-24,2017-2018
EPI_ISL_361271,2018-01-24,2017-2018
EPI_ISL_361270,2018-01-24,2017-2018
EPI_ISL_361265,2018-01-24,2017-2018
EPI_ISL_361264,2018-01-24,2017-2018
EPI_ISL_361266,2018-01-24,2017-2018
EPI_ISL_361277,2018-01-24,2017-2018
EPI_ISL_361276,2018-01-24,2017-2018
EPI_ISL_361278,2018-01-24,2017-2018
EPI_ISL_361273,2018-01-24,2017-2018
EPI_ISL_361272,2018-01-24,2017-2018
EPI_ISL_361275,2018-01-24,2017-2018
EPI_ISL_361274,2018-01-24,2017-2018
EPI_ISL_361682,2018-01-24,2017-2018
EPI_ISL_361836,2018-01-24,2017-2018
EPI_ISL_361838,2018-01-24,2017-2018
EPI_ISL_361841,2018-01-24,2017-2018
EPI_ISL_361843,2018-01-24,2017-2018
EPI_ISL_312824,2018-01-24,2017-2018
EPI_ISL_329809,2018-01-24,2017-2018
EPI_ISL_297352,2018-01-24,2017-2018
EPI_ISL_395761,2018-01-24,2017-2018
EPI_ISL_395820,2018-01-24,2017-2018
EPI_ISL_395831,2018-01-24,2017-2018
EPI_ISL_395833,2018-01-24,2017-2018
EPI_ISL_395867,2018-01-24,2017-2018
EPI_ISL_395879,2018-01-24,2017-2018
EPI_ISL_395881,2018-01-24,2017-2018
EPI_ISL_395922,2018-01-24,2017-2018
EPI_ISL_395944,2018-01-24,2017-2018
