name,date,season
EPI_ISL_355742,2019-01-10,2018-2019
EPI_ISL_356295,2019-01-10,2018-2019
EPI_ISL_389141,2019-01-10,2018-2019
EPI_ISL_389196,2019-01-10,2018-2019
EPI_ISL_356433,2019-01-10,2018-2019
EPI_ISL_357505,2019-01-10,2018-2019
EPI_ISL_358786,2019-01-10,2018-2019
EPI_ISL_391587,2019-01-10,2018-2019
EPI_ISL_391596,2019-01-10,2018-2019
EPI_ISL_391595,2019-01-10,2018-2019
EPI_ISL_394692,2019-01-11,2018-2019
EPI_ISL_394817,2019-01-11,2018-2019
EPI_ISL_362253,2019-01-11,2018-2019
EPI_ISL_19596833,2019-01-11,2018-2019
EPI_ISL_362553,2019-01-11,2018-2019
EPI_ISL_363970,2019-01-11,2018-2019
EPI_ISL_364626,2019-01-11,2018-2019
EPI_ISL_335688,2019-01-11,2018-2019
EPI_ISL_369739,2019-01-11,2018-2019
EPI_ISL_369751,2019-01-11,2018-2019
EPI_ISL_369763,2019-01-11,2018-2019
EPI_ISL_369772,2019-01-11,2018-2019
EPI_ISL_337022,2019-01-11,2018-2019
EPI_ISL_337018,2019-01-11,2018-2019
EPI_ISL_369804,2019-01-11,2018-2019
EPI_ISL_337105,2019-01-11,2018-2019
EPI_ISL_337184,2019-01-11,2018-2019
EPI_ISL_370119,2019-01-11,2018-2019
EPI_ISL_370567,2019-01-11,2018-2019
EPI_ISL_370563,2019-01-11,2018-2019
EPI_ISL_338601,2019-01-11,2018-2019
EPI_ISL_371952,2019-01-11,2018-2019
EPI_ISL_339304,2019-01-11,2018-2019
EPI_ISL_339717,2019-01-11,2018-2019
EPI_ISL_405849,2019-01-11,2018-2019
EPI_ISL_340505,2019-01-11,2018-2019
EPI_ISL_341127,2019-01-11,2018-2019
EPI_ISL_341446,2019-01-11,2018-2019
EPI_ISL_341951,2019-01-11,2018-2019
EPI_ISL_341952,2019-01-11,2018-2019
EPI_ISL_341990,2019-01-11,2018-2019
EPI_ISL_344069,2019-01-11,2018-2019
EPI_ISL_344064,2019-01-11,2018-2019
