name,date,season
EPI_ISL_406200,2019-10-31,2019-2020
EPI_ISL_409111,2019-10-31,2019-2020
EPI_ISL_409140,2019-10-31,2019-2020
EPI_ISL_413231,2019-10-31,2019-2020
EPI_ISL_413715,2019-10-31,2019-2020
EPI_ISL_20173140,2019-10-31,2019-2020
EPI_ISL_416278,2019-10-31,2019-2020
EPI_ISL_419275,2019-10-31,2019-2020
EPI_ISL_419621,2019-10-31,2019-2020
EPI_ISL_426209,2019-11-01,2019-2020
EPI_ISL_491788,2019-11-01,2019-2020
EPI_ISL_398557,2019-11-01,2019-2020
EPI_ISL_398801,2019-11-01,2019-2020
EPI_ISL_399843,2019-11-01,2019-2020
EPI_ISL_399946,2019-11-01,2019-2020
EPI_ISL_400553,2019-11-01,2019-2020
EPI_ISL_400854,2019-11-01,2019-2020
EPI_ISL_400855,2019-11-01,2019-2020
EPI_ISL_400852,2019-11-01,2019-2020
EPI_ISL_400853,2019-11-01,2019-2020
EPI_ISL_402301,2019-11-01,2019-2020
EPI_ISL_403332,2019-11-01,2019-2020
EPI_ISL_405105,2019-11-01,2019-2020
EPI_ISL_405852,2019-11-01,2019-2020
EPI_ISL_406175,2019-11-01,2019-2020
EPI_ISL_406194,2019-11-01,2019-2020
EPI_ISL_17054750,2019-11-01,2019-2020
EPI_ISL_17054756,2019-11-01,2019-2020
EPI_ISL_17054758,2019-11-01,2019-2020
EPI_ISL_17054752,2019-11-01,2019-2020
EPI_ISL_17054754,2019-11-01,2019-2020
EPI_ISL_411130,2019-11-01,2019-2020
EPI_ISL_411528,2019-11-01,2019-2020
EPI_ISL_413233,2019-11-01,2019-2020
EPI_ISL_16077855,2019-11-01,2019-2020
EPI_ISL_416229,2019-11-01,2019-2020
EPI_ISL_416783,2019-11-01,2019-2020
EPI_ISL_15621274,2019-11-01,2019-2020
EPI_ISL_15621275,2019-11-01,2019-2020
EPI_ISL_15621272,2019-11-01,2019-2020
EPI_ISL_15621273,2019-11-01,2019-2020
EPI_ISL_15621270,2019-11-01,2019-2020
EPI_ISL_15621271,2019-11-01,2019-2020
EPI_ISL_15621268,2019-11-01,2019-2020
EPI_ISL_15621269,2019-11-01,2019-2020
EPI_ISL_15621266,2019-11-01,2019-2020
EPI_ISL_15621267,2019-11-01,2019-2020
EPI_ISL_15621264,2019-11-01,2019-2020
EPI_ISL_15621265,2019-11-01,2019-2020
EPI_ISL_14770881,2019-11-01,2019-2020
EPI_ISL_14770882,2019-11-01,2019-2020
EPI_ISL_14770885,2019-11-01,2019-2020
EPI_ISL_426208,2019-11-02,2019-2020
EPI_ISL_426244,2019-11-02,2019-2020
EPI_ISL_398837,2019-11-02,2019-2020
EPI_ISL_400856,2019-11-02,2019-2020
EPI_ISL_400857,2019-11-02,2019-2020
EPI_ISL_403224,2019-11-02,2019-2020
EPI_ISL_405115,2019-11-02,2019-2020
EPI_ISL_406193,2019-11-02,2019-2020
EPI_ISL_406214,2019-11-02,2019-2020
EPI_ISL_412155,2019-11-02,2019-2020
EPI_ISL_414387,2019-11-02,2019-2020
EPI_ISL_449739,2019-11-02,2019-2020
EPI_ISL_491787,2019-11-03,2019-2020
EPI_ISL_491786,2019-11-03,2019-2020
EPI_ISL_491785,2019-11-03,2019-2020
EPI_ISL_398784,2019-11-03,2019-2020
EPI_ISL_398811,2019-11-03,2019-2020
EPI_ISL_400858,2019-11-03,2019-2020
EPI_ISL_400979,2019-11-03,2019-2020
EPI_ISL_401561,2019-11-03,2019-2020
EPI_ISL_401687,2019-11-03,2019-2020
EPI_ISL_401684,2019-11-03,2019-2020
EPI_ISL_401866,2019-11-03,2019-2020
EPI_ISL_402465,2019-11-03,2019-2020
EPI_ISL_402483,2019-11-03,2019-2020
EPI_ISL_402757,2019-11-03,2019-2020
EPI_ISL_403278,2019-11-03,2019-2020
EPI_ISL_403288,2019-11-03,2019-2020
EPI_ISL_403335,2019-11-03,2019-2020
EPI_ISL_404549,2019-11-03,2019-2020
EPI_ISL_405126,2019-11-03,2019-2020
EPI_ISL_406184,2019-11-03,2019-2020
EPI_ISL_406185,2019-11-03,2019-2020
EPI_ISL_409363,2019-11-03,2019-2020
EPI_ISL_512112,2019-11-03,2019-2020
EPI_ISL_16077944,2019-11-03,2019-2020
EPI_ISL_415685,2019-11-03,2019-2020
EPI_ISL_547572,2019-11-03,2019-2020
EPI_ISL_517764,2019-11-03,2019-2020
EPI_ISL_491783,2019-11-04,2019-2020
EPI_ISL_491784,2019-11-04,2019-2020
EPI_ISL_18681232,2019-11-04,2019-2020
EPI_ISL_462751,2019-11-04,2019-2020
EPI_ISL_462752,2019-11-04,2019-2020
EPI_ISL_398782,2019-11-04,2019-2020
EPI_ISL_398842,2019-11-04,2019-2020
EPI_ISL_400028,2019-11-04,2019-2020
EPI_ISL_400041,2019-11-04,2019-2020
EPI_ISL_400512,2019-11-04,2019-2020
EPI_ISL_400743,2019-11-04,2019-2020
EPI_ISL_400859,2019-11-04,2019-2020
EPI_ISL_401465,2019-11-04,2019-2020
EPI_ISL_401686,2019-11-04,2019-2020
EPI_ISL_401685,2019-11-04,2019-2020
EPI_ISL_401870,2019-11-04,2019-2020
EPI_ISL_402213,2019-11-04,2019-2020
EPI_ISL_402304,2019-11-04,2019-2020
EPI_ISL_402781,2019-11-04,2019-2020
