name,date,season
EPI_ISL_341080,2019-01-22,2018-2019
EPI_ISL_20297339,2019-01-22,2018-2019
EPI_ISL_341929,2019-01-22,2018-2019
EPI_ISL_342220,2019-01-22,2018-2019
EPI_ISL_342251,2019-01-22,2018-2019
EPI_ISL_342266,2019-01-22,2018-2019
EPI_ISL_18988797,2019-01-22,2018-2019
EPI_ISL_18988753,2019-01-22,2018-2019
EPI_ISL_344076,2019-01-22,2018-2019
EPI_ISL_344261,2019-01-22,2018-2019
EPI_ISL_344265,2019-01-22,2018-2019
EPI_ISL_344287,2019-01-22,2018-2019
EPI_ISL_344444,2019-01-22,2018-2019
EPI_ISL_345541,2019-01-22,2018-2019
EPI_ISL_345539,2019-01-22,2018-2019
EPI_ISL_345806,2019-01-22,2018-2019
EPI_ISL_345814,2019-01-22,2018-2019
EPI_ISL_346203,2019-01-22,2018-2019
EPI_ISL_346232,2019-01-22,2018-2019
EPI_ISL_346273,2019-01-22,2018-2019
EPI_ISL_346514,2019-01-22,2018-2019
EPI_ISL_346666,2019-01-22,2018-2019
EPI_ISL_380887,2019-01-22,2018-2019
EPI_ISL_349677,2019-01-22,2018-2019
EPI_ISL_349676,2019-01-22,2018-2019
EPI_ISL_349713,2019-01-22,2018-2019
EPI_ISL_349742,2019-01-22,2018-2019
EPI_ISL_349748,2019-01-22,2018-2019
EPI_ISL_349745,2019-01-22,2018-2019
EPI_ISL_349906,2019-01-22,2018-2019
EPI_ISL_349917,2019-01-22,2018-2019
EPI_ISL_349932,2019-01-22,2018-2019
EPI_ISL_349935,2019-01-22,2018-2019
EPI_ISL_349930,2019-01-22,2018-2019
EPI_ISL_349972,2019-01-22,2018-2019
EPI_ISL_349969,2019-01-22,2018-2019
EPI_ISL_349989,2019-01-22,2018-2019
EPI_ISL_350082,2019-01-22,2018-2019
EPI_ISL_350648,2019-01-22,2018-2019
EPI_ISL_350726,2019-01-22,2018-2019
EPI_ISL_350741,2019-01-22,2018-2019
EPI_ISL_13950124,2019-01-22,2018-2019
EPI_ISL_19029200,2019-01-22,2018-2019
EPI_ISL_351755,2019-01-22,2018-2019
EPI_ISL_351932,2019-01-22,2018-2019
EPI_ISL_17851859,2019-01-22,2018-2019
EPI_ISL_17851855,2019-01-22,2018-2019
EPI_ISL_353691,2019-01-22,2018-2019
EPI_ISL_354432,2019-01-22,2018-2019
EPI_ISL_355634,2019-01-22,2018-2019
EPI_ISL_355845,2019-01-22,2018-2019
EPI_ISL_388707,2019-01-22,2018-2019
EPI_ISL_389187,2019-01-22,2018-2019
EPI_ISL_356524,2019-01-22,2018-2019
EPI_ISL_357168,2019-01-22,2018-2019
EPI_ISL_357502,2019-01-22,2018-2019
EPI_ISL_358714,2019-01-22,2018-2019
EPI_ISL_358928,2019-01-22,2018-2019
EPI_ISL_358941,2019-01-22,2018-2019
EPI_ISL_358943,2019-01-22,2018-2019
EPI_ISL_358942,2019-01-22,2018-2019
EPI_ISL_358945,2019-01-22,2018-2019
EPI_ISL_358944,2019-01-22,2018-2019
EPI_ISL_359028,2019-01-22,2018-2019
EPI_ISL_359246,2019-01-22,2018-2019
EPI_ISL_394704,2019-01-23,2018-2019
EPI_ISL_394820,2019-01-23,2018-2019
EPI_ISL_364008,2019-01-23,2018-2019
EPI_ISL_13963985,2019-01-23,2018-2019
EPI_ISL_13963917,2019-01-23,2018-2019
EPI_ISL_365466,2019-01-23,2018-2019
EPI_ISL_366077,2019-01-23,2018-2019
EPI_ISL_366783,2019-01-23,2018-2019
EPI_ISL_4069999,2019-01-23,2018-2019
EPI_ISL_400632,2019-01-23,2018-2019
EPI_ISL_369697,2019-01-23,2018-2019
EPI_ISL_369696,2019-01-23,2018-2019
EPI_ISL_369722,2019-01-23,2018-2019
EPI_ISL_369732,2019-01-23,2018-2019
EPI_ISL_369748,2019-01-23,2018-2019
EPI_ISL_369778,2019-01-23,2018-2019
EPI_ISL_369800,2019-01-23,2018-2019
EPI_ISL_369912,2019-01-23,2018-2019
EPI_ISL_369980,2019-01-23,2018-2019
EPI_ISL_369993,2019-01-23,2018-2019
EPI_ISL_370018,2019-01-23,2018-2019
EPI_ISL_370025,2019-01-23,2018-2019
EPI_ISL_370112,2019-01-23,2018-2019
EPI_ISL_370121,2019-01-23,2018-2019
EPI_ISL_370199,2019-01-23,2018-2019
EPI_ISL_370193,2019-01-23,2018-2019
EPI_ISL_338389,2019-01-23,2018-2019
EPI_ISL_338388,2019-01-23,2018-2019
EPI_ISL_338387,2019-01-23,2018-2019
EPI_ISL_338401,2019-01-23,2018-2019
EPI_ISL_339377,2019-01-23,2018-2019
EPI_ISL_339376,2019-01-23,2018-2019
EPI_ISL_339379,2019-01-23,2018-2019
