name,date,season
EPI_ISL_275564,2016-12-15,2016-2017
EPI_ISL_259197,2016-12-15,2016-2017
EPI_ISL_259209,2016-12-15,2016-2017
EPI_ISL_259546,2016-12-15,2016-2017
EPI_ISL_259545,2016-12-15,2016-2017
EPI_ISL_259571,2016-12-15,2016-2017
EPI_ISL_259570,2016-12-15,2016-2017
EPI_ISL_259637,2016-12-15,2016-2017
EPI_ISL_276272,2016-12-15,2016-2017
EPI_ISL_276286,2016-12-15,2016-2017
EPI_ISL_244203,2016-12-15,2016-2017
EPI_ISL_244739,2016-12-15,2016-2017
EPI_ISL_244738,2016-12-15,2016-2017
EPI_ISL_244755,2016-12-15,2016-2017
EPI_ISL_244774,2016-12-15,2016-2017
EPI_ISL_245182,2016-12-15,2016-2017
EPI_ISL_261766,2016-12-15,2016-2017
EPI_ISL_245538,2016-12-15,2016-2017
EPI_ISL_262253,2016-12-16,2016-2017
EPI_ISL_262258,2016-12-16,2016-2017
EPI_ISL_262317,2016-12-16,2016-2017
EPI_ISL_247019,2016-12-16,2016-2017
EPI_ISL_247491,2016-12-16,2016-2017
EPI_ISL_264043,2016-12-16,2016-2017
EPI_ISL_264053,2016-12-16,2016-2017
EPI_ISL_248159,2016-12-16,2016-2017
EPI_ISL_248448,2016-12-16,2016-2017
EPI_ISL_248518,2016-12-16,2016-2017
EPI_ISL_248527,2016-12-16,2016-2017
EPI_ISL_248791,2016-12-16,2016-2017
EPI_ISL_248824,2016-12-16,2016-2017
EPI_ISL_248831,2016-12-16,2016-2017
EPI_ISL_248840,2016-12-16,2016-2017
EPI_ISL_248867,2016-12-16,2016-2017
EPI_ISL_248873,2016-12-16,2016-2017
EPI_ISL_248872,2016-12-16,2016-2017
EPI_ISL_249032,2016-12-16,2016-2017
EPI_ISL_249200,2016-12-16,2016-2017
EPI_ISL_331695,2016-12-16,2016-2017
EPI_ISL_267698,2016-12-16,2016-2017
EPI_ISL_252774,2016-12-16,2016-2017
EPI_ISL_253102,2016-12-16,2016-2017
EPI_ISL_253121,2016-12-16,2016-2017
EPI_ISL_286318,2016-12-16,2016-2017
EPI_ISL_286320,2016-12-16,2016-2017
EPI_ISL_286323,2016-12-16,2016-2017
EPI_ISL_253579,2016-12-16,2016-2017
EPI_ISL_270395,2016-12-16,2016-2017
EPI_ISL_270436,2016-12-16,2016-2017
EPI_ISL_270438,2016-12-16,2016-2017
EPI_ISL_270453,2016-12-16,2016-2017
EPI_ISL_270454,2016-12-16,2016-2017
EPI_ISL_303269,2016-12-16,2016-2017
EPI_ISL_270972,2016-12-16,2016-2017
EPI_ISL_270969,2016-12-16,2016-2017
EPI_ISL_256080,2016-12-16,2016-2017
EPI_ISL_256411,2016-12-16,2016-2017
EPI_ISL_256535,2016-12-16,2016-2017
EPI_ISL_273142,2016-12-16,2016-2017
EPI_ISL_273205,2016-12-16,2016-2017
EPI_ISL_257393,2016-12-16,2016-2017
EPI_ISL_241113,2016-12-16,2016-2017
EPI_ISL_257713,2016-12-16,2016-2017
EPI_ISL_241506,2016-12-16,2016-2017
EPI_ISL_241512,2016-12-16,2016-2017
EPI_ISL_241519,2016-12-16,2016-2017
EPI_ISL_241521,2016-12-16,2016-2017
EPI_ISL_241526,2016-12-16,2016-2017
EPI_ISL_241538,2016-12-16,2016-2017
EPI_ISL_241543,2016-12-16,2016-2017
EPI_ISL_241541,2016-12-16,2016-2017
EPI_ISL_241540,2016-12-16,2016-2017
EPI_ISL_241544,2016-12-16,2016-2017
EPI_ISL_241615,2016-12-16,2016-2017
