name,date,season
EPI_ISL_321198,2018-05-02,2017-2018
EPI_ISL_321447,2018-05-02,2017-2018
EPI_ISL_322109,2018-05-02,2017-2018
EPI_ISL_322144,2018-05-02,2017-2018
EPI_ISL_322939,2018-05-02,2017-2018
EPI_ISL_506165,2018-05-02,2017-2018
EPI_ISL_330032,2018-05-03,2017-2018
EPI_ISL_330034,2018-05-03,2017-2018
EPI_ISL_330938,2018-05-03,2017-2018
EPI_ISL_331058,2018-05-03,2017-2018
EPI_ISL_331367,2018-05-03,2017-2018
EPI_ISL_322436,2018-05-03,2017-2018
EPI_ISL_322465,2018-05-03,2017-2018
EPI_ISL_376804,2018-05-03,2017-2018
EPI_ISL_320306,2018-05-05,2017-2018
EPI_ISL_321890,2018-05-05,2017-2018
EPI_ISL_312856,2018-05-06,2017-2018
EPI_ISL_314288,2018-05-06,2017-2018
EPI_ISL_314289,2018-05-06,2017-2018
EPI_ISL_319708,2018-05-06,2017-2018
EPI_ISL_319709,2018-05-06,2017-2018
EPI_ISL_322296,2018-05-06,2017-2018
EPI_ISL_322958,2018-05-06,2017-2018
EPI_ISL_330264,2018-05-07,2017-2018
EPI_ISL_314020,2018-05-07,2017-2018
EPI_ISL_315012,2018-05-07,2017-2018
EPI_ISL_316428,2018-05-07,2017-2018
EPI_ISL_319636,2018-05-07,2017-2018
EPI_ISL_320286,2018-05-07,2017-2018
EPI_ISL_320283,2018-05-07,2017-2018
EPI_ISL_320656,2018-05-07,2017-2018
EPI_ISL_321581,2018-05-07,2017-2018
EPI_ISL_322110,2018-05-07,2017-2018
EPI_ISL_322441,2018-05-07,2017-2018
EPI_ISL_314016,2018-05-08,2017-2018
EPI_ISL_396275,2018-05-08,2017-2018
EPI_ISL_316768,2018-05-08,2017-2018
EPI_ISL_4070012,2018-05-08,2017-2018
EPI_ISL_320149,2018-05-08,2017-2018
EPI_ISL_322126,2018-05-08,2017-2018
EPI_ISL_322141,2018-05-08,2017-2018
EPI_ISL_329840,2018-05-09,2017-2018
EPI_ISL_314015,2018-05-09,2017-2018
EPI_ISL_396276,2018-05-09,2017-2018
EPI_ISL_314374,2018-05-09,2017-2018
EPI_ISL_314385,2018-05-09,2017-2018
EPI_ISL_314398,2018-05-09,2017-2018
EPI_ISL_314411,2018-05-09,2017-2018
EPI_ISL_315013,2018-05-09,2017-2018
EPI_ISL_315014,2018-05-09,2017-2018
EPI_ISL_315973,2018-05-09,2017-2018
EPI_ISL_316782,2018-05-09,2017-2018
EPI_ISL_320284,2018-05-09,2017-2018
EPI_ISL_320302,2018-05-09,2017-2018
EPI_ISL_320561,2018-05-09,2017-2018
EPI_ISL_322105,2018-05-09,2017-2018
EPI_ISL_322942,2018-05-09,2017-2018
EPI_ISL_312866,2018-05-10,2017-2018
EPI_ISL_350563,2018-05-10,2017-2018
EPI_ISL_319637,2018-05-10,2017-2018
EPI_ISL_320642,2018-05-10,2017-2018
