name,date,country,epidemic_key
ON447115.1,2021-12-06,France,france_y2021
ON447112.1,2021-12-06,France,france_y2021
ON447114.1,2021-12-06,France,france_y2021
ON447113.1,2021-12-06,France,france_y2021
ON447116.1,2021-12-06,France,france_y2021
ON447121.1,2021-12-06,France,france_y2021
ON447119.1,2021-12-06,France,france_y2021
ON447120.1,2021-12-06,France,france_y2021
ON447122.1,2021-12-06,France,france_y2021
ON447135.1,2021-12-06,France,france_y2021
ON447123.1,2021-12-06,France,france_y2021
ON447118.1,2021-12-06,France,france_y2021
ON447126.1,2021-12-06,France,france_y2021
ON447127.1,2021-12-06,France,france_y2021
ON447125.1,2021-12-06,France,france_y2021
ON447130.1,2021-12-06,France,france_y2021
ON447128.1,2021-12-06,France,france_y2021
ON447142.1,2021-12-06,France,france_y2021
ON447132.1,2021-12-06,France,france_y2021
ON447137.1,2021-12-06,France,france_y2021
ON447124.1,2021-12-06,France,france_y2021
ON447147.1,2021-12-06,France,france_y2021
ON447139.1,2021-12-06,France,france_y2021
ON447141.1,2021-12-06,France,france_y2021
ON447140.1,2021-12-06,France,france_y2021
ON447138.1,2021-12-06,France,france_y2021
ON447144.1,2021-12-06,France,france_y2021
ON447145.1,2021-12-06,France,france_y2021
ON447148.1,2021-12-06,France,france_y2021
ON447146.1,2021-12-06,France,france_y2021
ON447151.1,2021-12-06,France,france_y2021
ON447149.1,2021-12-06,France,france_y2021
ON447150.1,2021-12-06,France,france_y2021
ON447152.1,2021-12-06,France,france_y2021
ON447153.1,2021-12-06,France,france_y2021
ON447154.1,2021-12-06,France,france_y2021
ON447157.1,2021-12-06,France,france_y2021
ON447156.1,2021-12-06,France,france_y2021
ON447159.1,2021-12-06,France,france_y2021
ON447160.1,2021-12-06,France,france_y2021
ON447166.1,2021-12-06,France,france_y2021
ON447158.1,2021-12-06,France,france_y2021
ON447164.1,2021-12-06,France,france_y2021
ON447162.1,2021-12-06,France,france_y2021
ON447169.1,2021-12-06,France,france_y2021
ON447168.1,2021-12-06,France,france_y2021
ON447171.1,2021-12-06,France,france_y2021
ON447170.1,2021-12-06,France,france_y2021
ON447178.1,2021-12-06,France,france_y2021
ON447173.1,2021-12-06,France,france_y2021
ON447181.1,2021-12-06,France,france_y2021
ON447180.1,2021-12-06,France,france_y2021
ON447174.1,2021-12-06,France,france_y2021
ON447184.1,2021-12-06,France,france_y2021
ON447185.1,2021-12-06,France,france_y2021
ON447176.1,2021-12-06,France,france_y2021
ON447177.1,2021-12-06,France,france_y2021
ON447189.1,2021-12-06,France,france_y2021
ON447188.1,2021-12-06,France,france_y2021
ON447187.1,2021-12-06,France,france_y2021
ON447194.1,2021-12-06,France,france_y2021
ON447193.1,2021-12-06,France,france_y2021
ON447195.1,2021-12-06,France,france_y2021
ON447190.1,2021-12-06,France,france_y2021
ON447198.1,2021-12-06,France,france_y2021
ON447197.1,2021-12-06,France,france_y2021
ON447191.1,2021-12-06,France,france_y2021
ON447201.1,2021-12-06,France,france_y2021
ON447175.1,2021-12-06,France,france_y2021
ON268682.1,2021-12-06,France,france_y2021
ON268683.1,2021-12-06,France,france_y2021
ON268680.1,2021-12-06,France,france_y2021
ON268716.1,2021-12-06,France,france_y2021
ON268768.1,2021-12-06,France,france_y2021
ON269021.1,2021-12-06,France,france_y2021
ON269045.1,2021-12-06,France,france_y2021
ON269043.1,2021-12-06,France,france_y2021
ON269054.1,2021-12-06,France,france_y2021
ON269074.1,2021-12-06,France,france_y2021
ON269079.1,2021-12-06,France,france_y2021
ON269088.1,2021-12-06,France,france_y2021
ON269110.1,2021-12-06,France,france_y2021
ON269111.1,2021-12-06,France,france_y2021
ON269158.1,2021-12-06,France,france_y2021
ON269164.1,2021-12-06,France,france_y2021
ON269175.1,2021-12-06,France,france_y2021
ON269177.1,2021-12-06,France,france_y2021
ON271723.1,2021-12-06,France,france_y2021
ON274663.1,2021-12-06,France,france_y2021
ON274664.1,2021-12-06,France,france_y2021
ON274665.1,2021-12-06,France,france_y2021
ON274673.1,2021-12-06,France,france_y2021
ON274666.1,2021-12-06,France,france_y2021
