name,date,country,epidemic_key
BS010275.1,2022-10-24,Japan,japan_y2022
BS010278.1,2022-10-24,Japan,japan_y2022
BS010276.1,2022-10-24,Japan,japan_y2022
BS010277.1,2022-10-24,Japan,japan_y2022
LC773234.1,2022-10-24,Japan,japan_y2022
BS006079.1,2022-10-24,Japan,japan_y2022
BS006083.1,2022-10-24,Japan,japan_y2022
BS006084.1,2022-10-24,Japan,japan_y2022
BS006117.1,2022-10-24,Japan,japan_y2022
BS006103.1,2022-10-24,Japan,japan_y2022
BS006107.1,2022-10-24,Japan,japan_y2022
BS006104.1,2022-10-24,Japan,japan_y2022
BS006108.1,2022-10-24,Japan,japan_y2022
BS006109.1,2022-10-24,Japan,japan_y2022
BS006110.1,2022-10-24,Japan,japan_y2022
BS006111.1,2022-10-24,Japan,japan_y2022
BS006112.1,2022-10-24,Japan,japan_y2022
BS006102.1,2022-10-24,Japan,japan_y2022
BS006113.1,2022-10-24,Japan,japan_y2022
BS006114.1,2022-10-24,Japan,japan_y2022
BS006115.1,2022-10-24,Japan,japan_y2022
BS006116.1,2022-10-24,Japan,japan_y2022
BS006118.1,2022-10-24,Japan,japan_y2022
BS006119.1,2022-10-24,Japan,japan_y2022
BS010279.1,2022-10-25,Japan,japan_y2022
BS010280.1,2022-10-25,Japan,japan_y2022
BS010281.1,2022-10-25,Japan,japan_y2022
BS010282.1,2022-10-25,Japan,japan_y2022
OQ711794.1,2022-10-25,Japan,japan_y2022
BS006105.1,2022-10-25,Japan,japan_y2022
BS006120.1,2022-10-25,Japan,japan_y2022
BS006122.1,2022-10-25,Japan,japan_y2022
BS006121.1,2022-10-25,Japan,japan_y2022
BS006123.1,2022-10-25,Japan,japan_y2022
BS006124.1,2022-10-25,Japan,japan_y2022
BS006127.1,2022-10-25,Japan,japan_y2022
BS006128.1,2022-10-25,Japan,japan_y2022
BS006126.1,2022-10-25,Japan,japan_y2022
BS006130.1,2022-10-25,Japan,japan_y2022
BS006129.1,2022-10-25,Japan,japan_y2022
BS006131.1,2022-10-25,Japan,japan_y2022
BS006125.1,2022-10-25,Japan,japan_y2022
BS015793.1,2022-10-26,Japan,japan_y2022
BS015792.1,2022-10-26,Japan,japan_y2022
BS015794.1,2022-10-26,Japan,japan_y2022
BS010283.1,2022-10-26,Japan,japan_y2022
